"Vremenska oznaka","1. Gender:","2. Age:","3. Country:","4. Place of living:","5. Profession:","6. Level of education:","7. Monthly income:","8. Ethnic origin:","9. Marital Status:","10. Children:","11. How much time you spend online per day?","12. How often do you buy online?","13. How often do you buy using your mobile phone?","14. How much do you use mobile phone and it's apps?","15. How socially active are you?","16. How much do you use social networks?","17. How sporty are you?","18. How much do you care about environment protection and animals?","19. How trendy are you?","20. How much do you care about your skin?","21. Do you use skincare products?","22. How much informed are you before buying skincare products?","23. How much do you care about expert's recommendations on skincare products?","24. How much do you care about friend's recommendations on skincare products?","25. How much influence on your skincare brand choice has a celebrity recommendation?","26. Where do you buy skincare products?","27. How much (at average) you spend on skincare products per month?","28. What brand of skincare products do you use?","29. How much do you care about natural ingredients in skincare products?","30. How much do you care about the price of a skincare product?","31. How much do you care about the quality of a skincare product?","32. Do you prefer premium or mass products? ","33. How much do you care about the social image of the skincare brand you are buying products from?","34. How much do you care about a store (online or offline) service of the skincare brands?","35. How important for you are free samples before buying?","36. How important for you are a good return policies of skincare brand?","37. How important for you are a skincare brand's environmental and animal testing policies?","38. Do you know brand Kiehl's?","39. Do you use Kiehl's products?","40. What's your level of satisfaction with Kiehl's products?","41. What's your level of satisfaction with Kiehl's service?","42. Would you recommend Kiehl's to your friends and acquaintances?","43. What is your favorite Kiehl's product?","44. What do you associate Kiehl's with?","45. If you buy online skincare products, what service do you use to buy them?","46. Why you use this service?","47. What are your favorite things about this service?","48. How satisfied are you with the online service you are using?","49. How often do you visit online store for skincare products?","50. How many skincare products do you buy online per month?","51. How long you shop before making a purchase of skincare products online?","52. How many items do you buy per online purchase of skincare products?","53. Where on showrooming-webrooming level do you see yourself?","54. Would you use Kiehl's online service?"
"2019/03/15 12:52:31 PM CET","Male","20-29","Australia","Big city","Student","Bachelor's degree or eqvivalent","$800-$1000","White","Single, never married","0","4","6","1","7","6","3","10","9","2","1","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","1"
"2019/03/15 1:26:36 PM CET","Female","20-29","Liechtenstein","Rural area","Quality","Master's degree or eqvivalent",">$3000","White","Single, never married","0","7","6","4","7","8","3","4","7","5","4","Yes","3","2","8","1","1","<$10","","5","7","8","6","4","6","4","3","8","7","No","8","6","8","","Premium products;Quality","","","","","","","","","","3"
"2019/03/15 1:28:07 PM CET","Female","20-29","Malaysia","Big city","Student","Bachelor's degree or eqvivalent","$500-$799","Asian / Pacific","Single, never married","0","10","4","9","10","8","8","4","10","7","6","Yes","9","5","2","1","1","$10-$19","Good Values","10","9","9","6","10","10","6","8","10","9","No","","","","","","","","","","","","","","","10"
"2019/03/15 1:46:44 PM CET","Male","<20","New Zealand","Big city","University Student","Master's degree or eqvivalent","$500-$799","Asian / Pacific","Single, never married","0","10","4","7","10","8","9","8","10","7","10","Yes","8","6","8","1","5","$20-$49","Shiseido","7","9","10","8","5","7","8","8","9","9","Yes","9","7","10","Night time moisturizer","Natural products;Premium products","","","","","","","","","","6"
"2019/03/15 1:48:59 PM CET","Female","30-39","Germany","Big city","Teacher","Master's degree or eqvivalent","$1500-$3000","White","Single, never married","0","10","6","3","8","5","1","1","5","3","9","Yes","9","8","3","3","6","$20-$49","Bioré, Garnier, La Roche Posay, Shiseido","4","8","10","6","3","2","8","4","6","1","No","","","","","","Douglas, Amazon","Fast, reliable","Fast","8","7","5","7","7","3","1"
"2019/03/15 1:55:04 PM CET","Male","20-29","Ireland","Big city","Student","High school graduate","$800-$1000","White","Single, never married","0","9","4","4","9","7","9","2","10","7","7","Yes","3","3","8","2","1","$20-$49","Aveeno, Aleve","3","8","7","5","1","3","3","3","7","1","No","","","","","","","","","","","","","","","1"
"2019/03/15 2:18:10 PM CET","Female","30-39","United States","Small town","Nanny","Bachelor's degree or eqvivalent","$1500-$3000","White","Married or domestic partnership","0","3","8","10","7","9","7","6","10","6","8","Yes","9","7","9","1","3","$10-$19","Oil of Olay","6","9","10","8","3","9","8","9","10","1","No","","","","","","Amazon","It's fast shipping with Prime and I usually don't remember to buy until my product is gone so I need more right away","I can ship it to my house or work and not have to go to the store","10","9","1","4","2","3","1"
"2019/03/15 2:43:58 PM CET","Male","<20","Usa","Small town","Student","High school graduate","<$500","White","Single, never married","0","6","5","1","3","3","1","2","4","1","1","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","1"
"2019/03/15 2:46:23 PM CET","Female","20-29","Italy","Small town","Student","Master's degree or eqvivalent","<$500","White","Single, never married","0","5","2","8","7","1","3","3","3","4","7","Yes","6","6","5","5","2","$10-$19","Clinique ","4","6","9","7","4","6","8","1","3","5","No","","","","","","","","","","","","","","","2"
"2019/03/15 3:30:14 PM CET","Female","20-29","US","Big city","Server / student","Master's degree or eqvivalent","$500-$799","White","Single, never married","0","6","9","8","9","6","6","2","9","9","8","Yes","8","8","4","2","9","$50-$99","Lush, coola, glossier, boscia, tatcha","7","7","10","8","8","4","5","7","8","7","No","","","","","","The brands’ websites, Sephora ","Only options ","Deals, good websites ","8","8","8","6","4","5","8"
