"Vremenska oznaka","1. Gender:","2. Age:","3. Country:","4. Place of living:","5. Profession:","6. Level of education:","7. Monthly income:","8. Ethnic origin:","9. Marital Status:","10. Children:","11. How much time you spend online per day?","12. How often do you buy online?","13. How often do you buy using your mobile phone?","14. How much do you use mobile phone and it's apps?","15. How socially active are you?","16. How much do you use social networks?","17. How sporty are you?","18. How much do you care about environment protection and animals?","19. How trendy are you?","20. How much do you care about your skin?","21. Do you use skincare products?","22. How much informed are you before buying skincare products?","23. How much do you care about expert's recommendations on skincare products?","24. How much do you care about friend's recommendations on skincare products?","25. How much influence on your skincare brand choice has a celebrity recommendation?","26. Where do you buy skincare products?","27. How much (at average) you spend on skincare products per month?","28. What brand of skincare products do you use?","29. How much do you care about natural ingredients in skincare products?","30. How much do you care about the price of a skincare product?","31. How much do you care about the quality of a skincare product?","32. Do you prefer premium or mass products? ","33. How much do you care about the social image of the skincare brand you are buying products from?","34. How much do you care about a store (online or offline) service of the skincare brands?","35. How important for you are free samples before buying?","36. How important for you are a good return policies of skincare brand?","37. How important for you are a skincare brand's environmental and animal testing policies?","38. Do you know brand Kiehl's?","39. Do you use Kiehl's products?","40. What's your level of satisfaction with Kiehl's products?","41. What's your level of satisfaction with Kiehl's service?","42. Would you recommend Kiehl's to your friends and acquaintances?","43. What is your favorite Kiehl's product?","44. What do you associate Kiehl's with?","45. If you buy online skincare products, what service do you use to buy them?","46. Why you use this service?","47. What are your favorite things about this service?","48. How satisfied are you with the online service you are using?","49. How often do you visit online store for skincare products?","50. How many skincare products do you buy online per month?","51. How long you shop before making a purchase of skincare products online?","52. How many items do you buy per online purchase of skincare products?","53. Where on showrooming-webrooming level do you see yourself?","54. Would you use Kiehl's online service?"
"2019/03/20 4:48:28 PM CET","Female","20-29","Italy","Small town","Student","Bachelor's degree or eqvivalent","<$500","White","Married or domestic partnership","0","6","5","7","9","7","8","8","10","6","8","Yes","8","9","6","4","1","$10-$19","Garnier","3","9","8","3","1","7","10","3","8","1","No","","","","","","","","","","","","","","1","4"
"2019/03/20 4:48:52 PM CET","Female","<20","Singapore","Small town","Student","High school graduate","$500-$799","Asian / Pacific","Single, never married","0","8","4","6","7","6","8","9","5","7","5","Yes","6","1","8","1","2","$10-$19","Moisturiser, baby oil","10","10","10","7","7","1","1","1","7","6","No","","","","","","","","","","","","","","","1"
"2019/03/20 5:56:39 PM CET","Female",">60","usa","Small town","Retired Computer Support/teacher","Bachelor's degree or eqvivalent","$1000-$1499","White","Separated / Divorced","1","6","3","4","6","5","2","3","7","5","8","Yes","8","5","5","1","1","$10-$19","ole, various","5","8","8","3","1","2","5","5","9","1","No","","","","","","","","","","","","","","","1"
"2019/03/20 5:56:44 PM CET","Male","40-49","uk","Big city","sales","Master's degree or eqvivalent",">$3000","White","Separated / Divorced","0","8","8","4","7","8","6","7","8","2","1","No","","","","","","","","","","","","","","","","","5","No","","","","","","","","","","","","","","","1"
"2019/03/20 5:59:24 PM CET","Female","30-39","United States","Small town","Editor","Master's degree or eqvivalent",">$3000","White","Married or domestic partnership","0","9","7","3","8","3","10","10","10","6","10","Yes","10","10","2","1","5","$20-$49","Vanicream, Avene, Neutrogena","6","8","10","6","4","1","3","3","9","6","No","","","","","","Amazon","Easy to use","Fast delivery","10","10","1","5","1","5","3"
"2019/03/20 6:17:29 PM CET","Female","20-29","Mexico ","Big city","Unemployed ","High school graduate","<$500","Hispanic or Latino","Single, never married","0","10","6","3","10","2","6","6","10","5","10","Yes","10","10","2","1","5","$20-$49","Roche ","6","7","10","5","1","2","9","9","10","8","No","7","7","4","","Premium products","","","","10","7","1","10","4","10","6"
"2019/03/20 6:25:26 PM CET","Female","30-39","US","Small town","Insurance agent ","Bachelor's degree or eqvivalent",">$3000","White","Married or domestic partnership","1","5","5","2","9","7","10","3","1","1","9","Yes","10","8","2","1","4","$20-$49","Lancôme ","1","2","10","9","1","2","1","10","1","3","No","","","","","","Lancôme website or dept store website","Discounts and I live in a small town so convenience","Quick shipping ","9","3","1","1","1","5","5"
"2019/03/20 7:12:57 PM CET","Female","30-39","United States","Big city","Account Manager","High school graduate","$1500-$3000","White","Married or domestic partnership","0","4","8","9","9","6","8","5","7","6","10","Yes","8","7","8","2","5","$20-$49","Drunk Elephant, Sunday Reilly, Neogen, Youth to the People, Belif, Josie Maran, Glow Recipe, Farmacy","9","6","10","6","7","7","8","4","9","8","No","4","7","3","","Free samples;Sephora","Sephora.com","I’m a rewards member and there are often “online only” exclusive offers through their website","I had free 2-day shipping and the ability to look up past samples and purchases to ease the shopping process ","10","8","7","3","2","8","1"
"2019/03/20 7:17:56 PM CET","Female","30-39","United States","Small town","Manager","Bachelor's degree or eqvivalent",">$3000","White","Married or domestic partnership","0","5","8","4","9","4","4","6","5","3","10","Yes","7","5","7","1","9","$20-$49","Kiehls","8","6","10","8","1","7","9","1","2","10","Yes","8","8","8","Midnight Restoring Cream","Quality","Kiehls website or Amazon","Convenience & samples","samples","10","8","1","1","5","3","10"
"2019/03/20 7:50:42 PM CET","Male","50-59","usa","Small town","engineer","Bachelor's degree or eqvivalent",">$3000","White","Married or domestic partnership","3+","4","5","1","3","3","1","8","8","1","1","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","1"
"2019/03/20 8:08:09 PM CET","Female","30-39","Unites states","Big city","Recruiter ","Bachelor's degree or eqvivalent",">$3000","White","Single, never married","0","10","10","8","8","8","7","6","10","7","9","Yes","10","8","9","5","10","$20-$49","Eminence, drunk elephant, the ordinary ","9","8","8","6","3","5","6","10","9","8","No","","","","","","Amazon","Convenience","Price and convenience ","10","8","1","7","5","1","1"
"2019/03/20 8:23:37 PM CET","Female","50-59","USA","Big city","Admin Assistant","Bachelor's degree or eqvivalent","$1500-$3000","White","Married or domestic partnership","0","8","6","2","7","8","8","4","5","5","9","Yes","7","6","6","6","3","$10-$19","L'Oreal","1","8","7","5","5","5","6","5","5","1","No","","","","","","Amazon","Variety and price","Free shipping","6","5","2","5","6","7","1"
"2019/03/20 8:25:32 PM CET","Female","30-39","USA","Rural area","Healthcare","High school graduate","$1500-$3000","White","Single, never married","0","7","7","2","8","6","7","10","8","7","7","Yes","8","3","5","1","6","$20-$49","Clinique, Olay, small brands","7","3","10","7","2","4","4","3","7","8","No","","","","","","Amazon","Convenient","Fast","8","3","1","8","3","2","5"
"2019/03/20 8:27:32 PM CET","Female","40-49","Us","Small town","It","Bachelor's degree or eqvivalent",">$3000","White","Separated / Divorced","1","8","9","9","10","9","5","1","10","4","8","Yes","9","2","9","2","2","$50-$99","Neutrogena ","5","9","10","5","6","8","8","10","10","1","No","","","","","","Sephora","Easy","Ease of site navigation","9","3","1","8","2","1","3"
"2019/03/20 9:56:55 PM CET","Female",">60","US","Small town","professor","Doctorate degree",">$3000","White","Married or domestic partnership","2","5","5","1","3","5","6","4","8","6","5","Yes","6","7","6","1","9","<$10","varies","7","7","8","6","2","4","8","5","6","1","No","","","","","","","","","","","","","","","5"
"2019/03/20 10:21:59 PM CET","Female","<20","Canada","Big city","Student","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","7","2","1","9","5","8","1","9","5","7","Yes","8","7","4","2","6","$20-$49","Thayers, neutrogena, biore","8","6","10","6","7","2","1","1","9","1","No","","","","","","Amazon","Convenience","It's convenient","10","8","2","5","2","9","4"
"2019/03/20 10:40:54 PM CET","Female","30-39","USA","Big city","Corporate","Master's degree or eqvivalent",">$3000","White","Single, never married","0","5","6","6","9","7","7","6","10","8","10","Yes","10","6","3","1","2","$10-$19","Many brands, including and NOT limited to CeraVe/Neutrogena from the drugstore, and Ole Henriksen/Sunday Riley at Sephora","5","7","10","6","1","3","7","10","8","4","No","","","","","","","","","","","","","","","2"
"2019/03/20 11:48:23 PM CET","Female","40-49","USA","Small town","Homemaker","Bachelor's degree or eqvivalent","$1500-$3000","White","Separated / Divorced","1","4","7","7","8","4","5","3","9","6","9","Yes","7","5","6","1","6","$10-$19","Various","5","9","10","6","2","3","4","5","8","8","Yes","7","8","7","","Free samples","Ulta, Sephora","Ease of use, price ","Ease of use, selection ","7","6","2","6","2","6","9"
"2019/03/21 12:00:59 AM CET","Female","20-29","USA","Small town","Baker","Bachelor's degree or eqvivalent","$1000-$1499","White","Single, never married","0","5","5","2","8","3","7","5","10","3","6","Yes","10","8","5","4","1","$10-$19","Clean and Clear, Biore, Aveeno","6","9","10","5","7","6","8","3","6","6","No","","","","","","","","","","","","","","","5"
"2019/03/21 12:18:41 AM CET","Female","50-59","USA","Small town","Designer","Bachelor's degree or eqvivalent",">$3000","White","Widowed","2","7","4","1","8","6","1","1","7","5","3","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","5"
"2019/03/21 12:19:48 AM CET","Female","20-29","United States","Big city","Student","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","6","7","7","7","5","5","3","8","3","8","Yes","9","7","4","1","9","$20-$49","Various ","5","6","9","6","1","5","7","5","7","1","No","","","","","","Straight from their website","Reliable (I know I can trust that I’m getting what I pay for)","","6","4","4","8","2","5","5"
"2019/03/21 12:39:19 AM CET","Female","30-39","Canada","Small town","Account Manager","Bachelor's degree or eqvivalent",">$3000","White","Separated / Divorced","0","7","6","4","8","3","8","7","8","2","7","Yes","7","8","1","1","5","$50-$99","Vivier, Aveeno, Ivory","6","7","10","5","1","6","7","7","5","1","No","","","","","","Amazon, Beautysense","Convenience","Availability of products","9","3","3","3","1","5","2"
"2019/03/21 1:45:58 AM CET","Female","<20","Argentina","Big city","University Student","High school graduate","<$500","Other","Single, never married","0","4","1","5","7","1","3","4","6","4","10","Yes","9","10","6","4","1","$50-$99","La Roche Posay, Avene,Isdin, (international- europe);Clinique (USA);  Idraet (argentina)","4","4","10","5","1","8","6","3","4","4","No","","","","","","","","","","","","","","","1"
"2019/03/21 2:28:04 AM CET","Female","40-49","UNITED STATES ","Small town","Postal dock clerk","High school graduate","$1500-$3000","White","Married or domestic partnership","2","7","7","8","8","7","6","4","8","7","8","Yes","9","8","5","1","6","$20-$49","Tarte and variety ","8","8","10","7","7","8","10","10","10","1","No","","","","","","Store","They tend to have the best deals ","","8","8","3","6","2","5","8"
"2019/03/21 3:53:53 AM CET","Female","<20","USA","Big city","High school student","High school graduate","<$500","White","Single, never married","0","5","7","7","8","7","8","3","10","7","10","Yes","10","6","4","2","5","$10-$19","The ordinary, cerave, some glossier","3","7","10","4","4","3","1","4","8","7","Yes","5","4","4","musk perfume","Mr. Bones","online stores, sometimes but rarely amazon","convenience","? didn't i just answer that?","8","6","3","5","3","6","2"
"2019/03/21 7:35:17 AM CET","Female","30-39","United States","Small town","Web Developer","Master's degree or eqvivalent",">$3000","Hispanic or Latino","Married or domestic partnership","0","10","10","5","6","3","7","3","7","7","7","Yes","7","7","4","3","8","$10-$19","Various","6","8","9","6","3","3","3","5","7","3","No","","","","","","Amazon","prime","free 2 day shipping","9","6","1","3","10","4","5"
"2019/03/21 9:20:06 AM CET","Female","30-39","U.S","Small town","Truck Driver","Bachelor's degree or eqvivalent","$1500-$3000","White","Married or domestic partnership","0","3","9","9","8","6","6","4","9","2","9","Yes","10","5","9","1","6","$20-$49","Various","7","7","10","5","1","5","8","10","10","1","No","","","","","","","","","6","8","2","6","7","6","5"
"2019/03/21 11:02:05 AM CET","Female",">60","UK","Small town","Retired","High school graduate","$1500-$3000","White","Widowed","1","3","7","6","6","8","4","1","7","1","5","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","1"
"2019/03/21 12:14:09 PM CET","Female","40-49","Australia","Big city","Writer","Master's degree or eqvivalent",">$3000","White","Married or domestic partnership","1","10","7","6","10","7","7","6","10","6","8","Yes","10","6","6","1","1","$20-$49","Lush (moisturiser) Roche Posay (sunscreen)","8","2","10","8","1","3","4","1","8","6","No","","","","","","Lush Online","Sometimes there are online exclusives  you can't buy in store","Getting exclusives, and getting products from overseas Lush stores","10","7","1","6","4","5","4"
"2019/03/21 2:59:26 PM CET","Female",">60","canada","Big city","retired","Master's degree or eqvivalent",">$3000","White","Married or domestic partnership","0","3","4","1","3","3","1","4","6","4","8","Yes","8","1","5","1","1","$10-$19","clarins/marcelle/natural goat soap locally made","5","10","10","6","1","2","10","8","8","6","No","","","","","","","","","","","","","","","5"
"2019/03/21 3:29:46 PM CET","Female","20-29","Italy","Rural area","Tattoo apprentice","High school graduate","<$500","White","Single, never married","0","9","8","2","8","3","3","2","10","5","8","Yes","8","9","10","1","9","$20-$49","Aveeno, Nivea, Dove, Lush, local natural brands","6","8","8","4","1","1","6","4","6","1","No","","","","","","Amazon","It's convenient, has a broad selection","See above","10","4","4","8","2","9","6"
"2019/03/21 4:04:24 PM CET","Female","30-39","Australia ","Big city","Psychologist","Master's degree or eqvivalent","$1500-$3000","White","Separated / Divorced","0","7","6","4","6","6","4","2","7","6","9","Yes","8","7","5","2","8","$20-$49","The ordinary, cover FX, benzac, sukin","4","8","9","5","6","4","7","4","8","5","No","","","","","","Direct website","Convienience, price, authenticity of products ","Range","7","6","2","5","4","5","7"
"2019/03/21 5:53:39 PM CET","Female","40-49","Canada","Big city","Non-profit worker","Master's degree or eqvivalent",">$3000","White","Married or domestic partnership","0","5","5","1","7","5","5","5","9","1","8","Yes","8","6","4","1","6","$20-$49","Paula's Choice, Neutrogena, Cosrx","1","5","10","5","2","6","8","4","8","5","No","","","","","","Amazon","Product selection and fast shipping","Ease of use","8","7","1","6","1","6","2"
"2019/03/21 9:17:18 PM CET","Male","30-39","Usa","Big city","Accountant ","Bachelor's degree or eqvivalent",">$3000","White","Married or domestic partnership","0","4","7","3","8","3","1","3","8","2","5","Yes","2","3","4","1","6","$10-$19","Aveeno, whatever is cheap","2","9","7","5","1","1","1","1","2","1","No","","","","","","Amazon","Convenient ","Convenient ","6","2","1","1","1","5","2"
"2019/03/21 9:50:03 PM CET","Female","20-29","USA","Small town","Dietetic Technician","Bachelor's degree or eqvivalent","$800-$1000","White","Single, never married","0","8","8","3","8","3","3","4","9","7","8","Yes","9","8","8","1","9","$20-$49","Drunk Elephanr","9","8","10","6","6","5","7","7","8","5","No","","","","","","","","","","","","","","","2"
"2019/03/22 3:07:45 AM CET","Female","20-29","USA","Big city","Student","High school graduate","<$500","White","Single, never married","0","6","4","3","8","4","8","7","8","3","8","Yes","6","7","6","3","1","$10-$19","Neutrogena, clean and clear","4","8","8","3","3","3","3","2","7","1","No","","","","","","","","","","","","","","","4"
